question,answer,question_vi,answer_vi
The Uruguay national team displays four stars on its emblems. How many World Cups has it won?,Two,Đội tuyển quốc gia Uruguay hiển thị bốn ngôi sao trên biểu tượng của mình.Nó đã giành được bao nhiêu World Cup?,Hai
The writer of ‘A Song of Ice and Fire’ recently contributed to the script of which video game?,Elden Ring,Tác giả của ‘A Song of Ice and Fire’ gần đây đã góp phần viết kịch bản cho trò chơi điện tử nào?,Nhẫn già
The zeppelin was invented by engineers from which country?,Germany,Zeppelin được phát minh bởi các kỹ sư từ nước nào?,nước Đức
"To unlock the achievement “Huarong Trail"", you must use Guan Yu to defeat a troop led by which of the following commanders?",Cao Cao,"Để mở khóa thành tích “Đường mòn Huarong”, bạn phải sử dụng Quan Vũ để đánh bại đội quân do chỉ huy nào sau đây chỉ huy?",Tào Tháo
"To whom did India give the title “Mahatma""?",Mohandas Karamchand Gandhi,Ấn Độ đã trao danh hiệu “Mahatma” cho ai?,Mohandas Karamchand Gandhi
"Tokugawa Ieyasu and who else became the three “Great Unifiers"" of Japan?",Oda Nobunaga and Toyotomi Hideyoshi,Tokugawa Ieyasu và ai khác đã trở thành bộ ba “Đại thống nhất” của Nhật Bản?,Oda Nobunaga và Toyotomi Hideyoshi
Tongwancheng was the capital of which ethnic group from ancient China?,The Xiongnu,Đồng Vạn Thành là thủ đô của dân tộc nào ở Trung Quốc cổ đại?,người Hung Nô
"Under normal circumstances, which layer of the Sun can we see with the naked eye?",Photosphere,"Trong điều kiện bình thường, chúng ta có thể nhìn thấy lớp nào của Mặt Trời bằng mắt thường?",quang quyển
Under which category does the formal writing system of ancient Egypt fall?,Hieroglyphic,Hệ thống chữ viết chính thức của Ai Cập cổ đại thuộc loại nào?,chữ tượng hình
Under which Pharaoh did ancient Egyptian minister Imhotep serve?,Zoser,Bộ trưởng Ai Cập cổ đại Imhotep đã phục vụ dưới thời Pharaoh nào?,Zoser
"Using a troop led by Julius Caesar and Cleopatra VII, which of the f ollowing actions will unlock the achievement “Immortal Longings""?",Attack a city,"Sử dụng đội quân do Julius Caesar và Cleopatra VII chỉ huy, hành động nào sau đây sẽ đạt được thành tựu “Nỗi khao khát bất tử”?",Tấn công một thành phố
Wales officially became part of the Kingdom of Great Britain during the reign of which King?,Henry VIII,Wales chính thức trở thành một phần của Vương quốc Anh dưới thời trị vì của vị vua nào?,Henry VIII
What achievement would spending over 200 Golden Keys in the Tavern in a single transaction unlock?,All In,Việc chi hơn 200 Chìa khóa Vàng trong Quán rượu chỉ trong một lần mở khóa giao dịch sẽ đạt được thành tích gì?,Tất cả trong
What age did ancient Greece enter after the Mycenaean civilization was destroyed?,Dark Age,Hy Lạp cổ đại bước vào thời đại nào sau khi nền văn minh Mycenaean bị hủy diệt?,Thời kỳ đen tối
What ancient Roman ruin located in Algeria was formally assigned World Heritage status in 1982?,The ruins of Djemila,Tàn tích La Mã cổ đại nào nằm ở Algeria đã chính thức được công nhận là Di sản Thế giới vào năm 1982?,Tàn tích của Djemila
"What animal is the “Tigris"" named after in ancient Greek?",Tiger,Con vật nào được đặt theo tên của con vật Tigris trong tiếng Hy Lạp cổ đại?,hổ
What animal is the mascot of the 2022 Winter Olympics based on?,Panda,Linh vật của Thế vận hội mùa đông 2022 dựa trên con vật nào?,gấu trúc
What are Arrows of Resistance used for?,To upgrade the Watchtower,Mũi tên kháng chiến được sử dụng để làm gì?,Để nâng cấp Tháp Canh
What are Books of Covenant used for?,To upgrade the Castle,Sách Giao Ước dùng để làm gì?,Để nâng cấp Lâu đài
What are the dimensions of the fog cleared by a Kingdom Map item?,10×10,Kích thước của sương mù được xóa sạch bởi vật phẩm trên Bản đồ Vương quốc là bao nhiêu?,10×10
"What benefit does researching “Mathematics"" in the Academy provide?",Increased research speed,Việc nghiên cứu “Toán học” ở Học viện mang lại lợi ích gì?,Tăng tốc độ nghiên cứu
"What can “Masonry"" technology help you to improve?",The building speed of buildings in your city,Công nghệ “Masonry” có thể giúp bạn cải thiện điều gì?,Tốc độ xây dựng các tòa nhà trong thành phố của bạn
"What caused the death of the outstanding statemen and military strategist, Pericles?",A plague,Điều gì đã gây ra cái chết của chính khách và chiến lược gia quân sự kiệt xuất Pericles?,Một bệnh dịch
What caused the deaths of Ceroli Chieftain Dekar’s parents?,The discovery of their witchcraft studies,Điều gì đã gây ra cái chết của cha mẹ thủ lĩnh Ceroli Dekar?,Việc phát hiện ra các nghiên cứu về phép thuật của họ
What causes lunar eclipses?,The earth moves directly between the sun and the moon,Nguyên nhân gây ra nguyệt thực?,Trái đất chuyển động trực tiếp giữa mặt trời và mặt trăng
What civilization developed between the Tigris and Euphrates rivers?,The Mesopotamians,Nền văn minh nào đã phát triển giữa sông Tigris và Euphrates?,Người Lưỡng Hà
What color are the fresh flowers in the Lyceum of Wisdom for the French civilization?,Red,Những bông hoa tươi trong Lyceum of Wisdom có ​​màu gì cho nền văn minh Pháp?,màu đỏ
What color are the wings on the Pegasus decoration?,Gold,Đôi cánh trên trang trí Pegasus có màu gì?,Vàng
What color gemstones are engraved upon the crown of the commander El Cid?,Red,Những viên đá quý màu gì được khắc trên vương miện của chỉ huy El Cid?,màu đỏ
What color is a polar bear’s skin?,Black,Da của gấu Bắc Cực có màu gì?,Đen
What color is used on the roofs of buildings in the Japanese civilization?,Black,Màu gì được sử dụng trên mái các tòa nhà trong nền văn minh Nhật Bản?,Đen
What color paint was favored by ancient Egyptian families for the walls of their homes?,White,Màu sơn nào được các gia đình Ai Cập cổ đại ưa chuộng cho các bức tường trong nhà của họ?,trắng
What color sail did Theseus fly on his ship to signify to his father Aegeus that he had successfully slain the Minotaur?,White,Theseus đã treo cánh buồm màu gì trên con tàu của mình để báo hiệu cho cha mình là Aegeus rằng ông đã tiêu diệt thành công Minotaur?,trắng
What color was the match ball used in the 1966 World Cup Final?,Orange,Quả bóng được sử dụng trong trận chung kết World Cup 1966 có màu gì?,trái cam
What country did the infamous pirate Blackbeard come from?,England,Cướp biển khét tiếng Râu Đen đến từ đất nước nào?,nước Anh
What country is not in Europe?,Egypt,Nước nào không thuộc Châu Âu?,Ai Cập
"What country was Sigmund Freud, the father of psychoanalysis, from?",Austria,"Sigmund Freud, cha đẻ của phân tâm học, đến từ nước nào?",Áo
What date is World Environment Day held each year?,June 5th,Ngày Môi trường Thế giới được tổ chức hàng năm vào ngày nào?,ngày 5 tháng 6
What did Che Guevara study in college?,Medicine,Che Guevara đã học gì ở trường đại học?,Y học
What did Spartacus do as a slave before leading the biggest slave rebellion of Ancient Rome?,A gladiator,Spartacus đã làm gì khi còn là nô lệ trước khi lãnh đạo cuộc nổi dậy nô lệ lớn nhất ở La Mã cổ đại?,Một đấu sĩ
What did the name for ancient Egypt’s Luxor Temple also mean?,The southern sanctuary,Tên của Đền Luxor của Ai Cập cổ đại cũng có ý nghĩa gì?,Thánh địa phía Nam
"What did the word “marathon"" originally refer to?",A place name,"Từ ""marathon"" ban đầu ám chỉ điều gì?",Tên địa điểm
"What did Theodorus van Gogh, the younger brother of famed Dutch painter Vincent Van Gogh, do for a living?",Art Dealer,"Theodorus van Gogh, em trai của họa sĩ nổi tiếng người Hà Lan Vincent Van Gogh, làm gì để kiếm sống?",Đại lý nghệ thuật
What discovery made the deciphering of hieroglyphics possible?,The Rosetta Stone,Khám phá nào đã giúp việc giải mã chữ tượng hình trở nên khả thi?,Đá Rosetta
What do Dragon Lancers carry in their left hand?,A tobacco pipe,Dragon Lancers mang gì trên tay trái?,Một ống thuốc lá
What do you have to do to earn the Witness Protection achievement?,Change your nickname 10 times,Bạn phải làm gì để đạt được thành tích Bảo vệ Nhân chứng?,Thay đổi biệt hiệu của bạn 10 lần
"What does a “hat-trick"" mean in soccer?",One player scoring 3 goals for their team,“Hat-trick” có nghĩa là gì trong bóng đá?,Một cầu thủ ghi 3 bàn cho đội mình
What does the ankh character represent in ancient Egyptian hieroglyphics?,Life,Ký tự ankh tượng trưng cho điều gì trong chữ tượng hình Ai Cập cổ đại?,cuộc sống
"What does the word “Formula"" in “Formula 1 Racing"" refer to?",The rules which participating cars must follow,Từ “Công thức” trong “Đua xe Công thức 1” ám chỉ điều gì?,Nội quy xe tham gia phải tuân theo
What event marked the beginning of the Hellenistic period?,The death of Alexander the Great,Sự kiện nào đánh dấu sự khởi đầu của thời kỳ Hy Lạp hóa?,Cái chết của Alexander Đại đế
What four-word saying did Oda Nobunaga live by?,Rule With absolute force,Oda Nobunaga đã sống theo câu nói bốn chữ nào?,Quy tắc Với lực lượng tuyệt đối
What honorary rank was the founder of Kentucky Fried Chicken (KFC) given?,Colonel,Người sáng lập Kentucky Fried Chicken (KFC) được trao cấp bậc danh dự nào?,Đại tá
What image is engraved on the Hammer of the Sun and Moon weapon?,The sun,Hình ảnh nào được khắc trên Búa Mặt Trời và Mặt Trăng?,Mặt trời
What information does the item Deceptive Troops falsify for enemy Scouts?,Your City’s unit count,Mục Quân lừa đảo làm sai lệch thông tin gì cho Trinh sát đối phương?,Số đơn vị Thành phố của bạn
"What ingredients are used to make “zongzi"", a traditional food eaten in China during the Dragon Boat Festival?",Glutinous rice,"Những nguyên liệu nào được sử dụng để làm món “zongzi”, một món ăn truyền thống được ăn ở Trung Quốc trong Lễ hội Thuyền Rồng?",gạo nếp
What instrument was officially banned by FIFA after the 2010 South Africa World Cup?,Vuvuzela,Nhạc cụ nào chính thức bị FIFA cấm sau World Cup 2010 tại Nam Phi?,Vuvuzela
"What is a “light-year"" a measure of?",Distance,Đơn vị đo “năm ánh sáng” là gì?,Khoảng cách
What is Belisarius’ nickname?,Last of the Romans,Biệt danh của Belisarius là gì?,Người La Mã cuối cùng
What is China’s earliest known book of military strategy?,"Sun Tzu’s “The Art of War""",Cuốn sách về chiến lược quân sự được biết đến sớm nhất của Trung Quốc là gì?,“Binh pháp chiến tranh” của Tôn Tử
